domain,fold,split,label,n,min,median,mean,max
fullCP,Blue,train,0,1312,300,425.0,430.4893292682927,687
fullCP,Blue,train,1,764,205,468.5,480.86649214659684,778
fullCP,Blue,test,0,169,323,439,455.75147928994085,677
fullCP,Blue,test,1,238,311,462.0,469.02521008403363,684
fullCP,Green,train,0,1151,301,429,437.13032145960034,687
fullCP,Green,train,1,772,205,462.0,471.48704663212436,684
fullCP,Green,test,0,330,300,412.5,420.26363636363635,616
fullCP,Green,test,1,230,244,518.0,500.09565217391304,778
fullCP,Purple,train,0,1425,300,426,432.29263157894735,687
fullCP,Purple,train,1,557,233,467,479.0700179533214,778
fullCP,Purple,test,0,56,377,461.0,460.8392857142857,544
fullCP,Purple,test,1,445,205,465,476.7820224719101,652
fullCP,Red,train,0,1041,300,431,439.0355427473583,677
fullCP,Red,train,1,996,205,466.0,478.1827309236948,778
fullCP,Red,test,0,440,301,400.5,419.9727272727273,687
fullCP,Red,test,1,6,265,454.5,456.6666666666667,615
fullCP,Yellow,train,0,996,300,421.0,428.54116465863456,687
fullCP,Yellow,train,1,919,205,469,480.4766050054407,778
fullCP,Yellow,test,0,485,314,430,443.29278350515466,671
fullCP,Yellow,test,1,83,233,452,451.2289156626506,647
Rdomain,Blue,train,0,1292,3,92.0,94.5,326
Rdomain,Blue,train,1,734,1,113.0,116.31607629427793,313
Rdomain,Blue,test,0,170,1,100.0,105.04705882352941,248
Rdomain,Blue,test,1,238,5,112.0,114.1218487394958,339
Rdomain,Green,train,0,1149,1,94,99.32985204525674,326
Rdomain,Green,train,1,764,4,111.0,112.79973821989529,339
Rdomain,Green,test,0,313,3,65,82.49840255591054,283
Rdomain,Green,test,1,208,1,141.0,126.72115384615384,296
Rdomain,Purple,train,0,1406,1,92.0,95.44736842105263,326
Rdomain,Purple,train,1,530,1,114.0,116.74150943396226,339
Rdomain,Purple,test,0,56,45,99.0,102.73214285714286,155
Rdomain,Purple,test,1,442,4,111.0,114.62443438914028,313
Rdomain,Red,train,0,1026,1,95.0,97.0692007797271,313
Rdomain,Red,train,1,967,1,113,115.70527404343329,339
Rdomain,Red,test,0,436,5,80.0,92.56651376146789,326
Rdomain,Red,test,1,5,88,123,130,206
Rdomain,Yellow,train,0,978,1,86.0,92.16666666666667,326
Rdomain,Yellow,train,1,893,1,113,117.39417693169094,339
Rdomain,Yellow,test,0,484,4,96.0,102.9194214876033,313
Rdomain,Yellow,test,1,79,8,103,97.51898734177215,237
Sdomain,Blue,train,0,1314,108,178.0,177.36605783866057,203
Sdomain,Blue,train,1,762,57,186.0,187.36089238845145,233
Sdomain,Blue,test,0,170,176,182.0,181.71764705882353,193
Sdomain,Blue,test,1,238,175,185.0,184.2731092436975,206
Sdomain,Green,train,0,1154,108,180.0,178.5372616984402,203
Sdomain,Green,train,1,769,57,185,185.6072821846554,219
Sdomain,Green,test,0,330,146,175.0,175.5121212121212,203
Sdomain,Green,test,1,231,168,190,190.017316017316,233
Sdomain,Purple,train,0,1428,108,178.0,177.640756302521,203
Sdomain,Purple,train,1,556,168,185.0,186.8974820143885,233
Sdomain,Purple,test,0,56,174,185.0,183.57142857142858,189
Sdomain,Purple,test,1,444,57,186.0,186.28603603603602,210
Sdomain,Red,train,0,1044,108,181.0,179.66954022988506,203
Sdomain,Red,train,1,995,57,185,186.64020100502512,233
Sdomain,Red,test,0,440,148,173.0,173.5818181818182,203
Sdomain,Red,test,1,5,172,185,183.8,194
Sdomain,Yellow,train,0,999,108,176,176.1081081081081,203
Sdomain,Yellow,train,1,918,57,185.0,186.68954248366012,233
Sdomain,Yellow,test,0,485,165,182,181.48247422680413,203
Sdomain,Yellow,test,1,82,169,184.5,185.91463414634146,219
Pdomain,Blue,train,0,1313,7,150,160.06092916984005,383
Pdomain,Blue,train,1,762,5,170.0,182.0958005249344,399
Pdomain,Blue,test,0,170,95,152.0,168.87058823529412,345
Pdomain,Blue,test,1,238,46,161.5,170.6596638655462,317
Pdomain,Green,train,0,1153,7,150,159.5160450997398,383
Pdomain,Green,train,1,769,8,164,174.55656697009104,399
Pdomain,Green,test,0,330,81,143.0,166.5030303030303,331
Pdomain,Green,test,1,231,5,189,195.4112554112554,367
Pdomain,Purple,train,0,1427,7,150,160.54239663629994,383
Pdomain,Purple,train,1,556,5,169.0,181.5341726618705,399
Pdomain,Purple,test,0,56,142,165.5,174.53571428571428,273
Pdomain,Purple,test,1,444,8,164.5,176.6689189189189,370
Pdomain,Red,train,0,1043,15,151,163.77277085330778,353
Pdomain,Red,train,1,995,5,167,179.364824120603,399
Pdomain,Red,test,0,440,7,146.0,154.66590909090908,383
Pdomain,Red,test,1,5,153,175,181.2,217
Pdomain,Yellow,train,0,998,7,148.0,162.01402805611224,383
Pdomain,Yellow,train,1,918,5,168.0,179.85185185185185,370
Pdomain,Yellow,test,0,485,49,151,159.1298969072165,353
Pdomain,Yellow,test,1,82,49,163.5,174.02439024390245,399
