domain,fold,split,n,positives,negatives
fullCP,Blue,train,2076,764,1312
fullCP,Blue,test,407,238,169
fullCP,Green,train,1923,772,1151
fullCP,Green,test,560,230,330
fullCP,Purple,train,1982,557,1425
fullCP,Purple,test,501,445,56
fullCP,Red,train,2037,996,1041
fullCP,Red,test,446,6,440
fullCP,Yellow,train,1915,919,996
fullCP,Yellow,test,568,83,485
Rdomain,Blue,train,2026,734,1292
Rdomain,Blue,test,408,238,170
Rdomain,Green,train,1913,764,1149
Rdomain,Green,test,521,208,313
Rdomain,Purple,train,1936,530,1406
Rdomain,Purple,test,498,442,56
Rdomain,Red,train,1993,967,1026
Rdomain,Red,test,441,5,436
Rdomain,Yellow,train,1871,893,978
Rdomain,Yellow,test,563,79,484
Sdomain,Blue,train,2076,762,1314
Sdomain,Blue,test,408,238,170
Sdomain,Green,train,1923,769,1154
Sdomain,Green,test,561,231,330
Sdomain,Purple,train,1984,556,1428
Sdomain,Purple,test,500,444,56
Sdomain,Red,train,2039,995,1044
Sdomain,Red,test,445,5,440
Sdomain,Yellow,train,1917,918,999
Sdomain,Yellow,test,567,82,485
Pdomain,Blue,train,2075,762,1313
Pdomain,Blue,test,408,238,170
Pdomain,Green,train,1922,769,1153
Pdomain,Green,test,561,231,330
Pdomain,Purple,train,1983,556,1427
Pdomain,Purple,test,500,444,56
Pdomain,Red,train,2038,995,1043
Pdomain,Red,test,445,5,440
Pdomain,Yellow,train,1916,918,998
Pdomain,Yellow,test,567,82,485
