domain,fold,best_epoch,steps,val_f1,selected_threshold,auroc,auprc,balanced_acc,f1,mcc,selected_balanced_acc,selected_f1,test_n,positives,negatives
fullCP,Blue,48,2800,0.86,0.491,0.91,0.931,0.825,0.86,0.654,0.827,0.862,407,238,169
fullCP,Green,39,2600,0.861,0.5,0.889,0.881,0.797,0.759,0.596,0.797,0.759,560,230,330
fullCP,Purple,42,2650,0.816,0.499,0.831,0.976,0.734,0.872,0.342,0.734,0.872,501,445,56
fullCP,Red,39,2750,0.871,0.493,0.944,0.63,0.847,0.139,0.225,0.843,0.132,446,6,440
fullCP,Yellow,47,2550,0.91,0.499,0.914,0.774,0.853,0.628,0.575,0.851,0.623,568,83,485
Rdomain,Blue,40,2700,0.885,0.496,0.936,0.949,0.879,0.903,0.762,0.876,0.901,408,238,170
Rdomain,Green,49,2550,0.901,0.517,0.948,0.942,0.886,0.864,0.775,0.888,0.866,521,208,313
Rdomain,Purple,37,2600,0.874,0.501,0.902,0.986,0.804,0.908,0.47,0.804,0.908,498,442,56
Rdomain,Red,40,2650,0.905,0.513,0.871,0.382,0.767,0.162,0.218,0.769,0.171,441,5,436
Rdomain,Yellow,47,2500,0.884,0.471,0.843,0.663,0.752,0.436,0.359,0.732,0.409,563,79,484
Sdomain,Blue,50,2800,0.756,0.395,0.753,0.814,0.667,0.768,0.366,0.621,0.779,408,238,170
Sdomain,Green,44,2600,0.779,0.548,0.925,0.897,0.768,0.703,0.61,0.738,0.647,561,231,330
Sdomain,Purple,40,2650,0.743,0.501,0.633,0.932,0.544,0.848,0.068,0.544,0.848,500,444,56
Sdomain,Red,46,2750,0.799,0.401,0.671,0.058,0.545,0.037,0.031,0.602,0.043,445,5,440
Sdomain,Yellow,49,2550,0.863,0.509,0.697,0.342,0.596,0.297,0.141,0.588,0.292,567,82,485
Pdomain,Blue,36,2800,0.729,0.495,0.619,0.65,0.585,0.586,0.168,0.588,0.594,408,238,170
Pdomain,Green,40,2600,0.683,0.5,0.906,0.887,0.841,0.813,0.677,0.841,0.813,561,231,330
Pdomain,Purple,47,2650,0.719,0.498,0.635,0.94,0.525,0.793,0.035,0.527,0.794,500,444,56
Pdomain,Red,34,2750,0.751,0.458,0.738,0.06,0.692,0.058,0.098,0.762,0.062,445,5,440
Pdomain,Yellow,49,2550,0.814,0.499,0.723,0.381,0.635,0.326,0.19,0.634,0.325,567,82,485
