
Epoch 1 | loss 0.3131 | val_f1 0.809
Epoch 2 | loss 0.1665 | val_f1 0.817
Epoch 3 | loss 0.1529 | val_f1 0.904
Epoch 4 | loss 0.1388 | val_f1 0.766
Epoch 5 | loss 0.1157 | val_f1 0.926
Epoch 6 | loss 0.1175 | val_f1 0.897
Epoch 7 | loss 0.0952 | val_f1 0.937
Epoch 8 | loss 0.0809 | val_f1 0.933
Epoch 9 | loss 0.0821 | val_f1 0.873
Epoch 10 | loss 0.0734 | val_f1 0.947
Epoch 11 | loss 0.0838 | val_f1 0.939
Epoch 12 | loss 0.0738 | val_f1 0.929
Epoch 13 | loss 0.0657 | val_f1 0.949
Epoch 14 | loss 0.0687 | val_f1 0.956
Epoch 15 | loss 0.0624 | val_f1 0.766
Epoch 16 | loss 0.0609 | val_f1 0.949
Epoch 17 | loss 0.0565 | val_f1 0.942
Epoch 18 | loss 0.0553 | val_f1 0.949
Epoch 19 | loss 0.0646 | val_f1 0.956
Epoch 20 | loss 0.0512 | val_f1 0.919
Epoch 21 | loss 0.0455 | val_f1 0.933
Epoch 22 | loss 0.0529 | val_f1 0.933
Epoch 23 | loss 0.0560 | val_f1 0.923
Epoch 24 | loss 0.0429 | val_f1 0.948
Epoch 25 | loss 0.0450 | val_f1 0.929
Epoch 26 | loss 0.0393 | val_f1 0.951
Epoch 27 | loss 0.0386 | val_f1 0.941
Epoch 28 | loss 0.0360 | val_f1 0.940
Epoch 29 | loss 0.0357 | val_f1 0.955
Epoch 30 | loss 0.0347 | val_f1 0.948
Epoch 31 | loss 0.0381 | val_f1 0.955
Epoch 32 | loss 0.0374 | val_f1 0.944
Epoch 33 | loss 0.0288 | val_f1 0.955
Epoch 34 | loss 0.0269 | val_f1 0.945
Epoch 35 | loss 0.0329 | val_f1 0.955
Epoch 36 | loss 0.0396 | val_f1 0.934
Epoch 37 | loss 0.0261 | val_f1 0.949
Epoch 38 | loss 0.0300 | val_f1 0.968
Epoch 39 | loss 0.0266 | val_f1 0.955
Epoch 40 | loss 0.0288 | val_f1 0.962
Epoch 41 | loss 0.0253 | val_f1 0.955
Epoch 42 | loss 0.0224 | val_f1 0.962
Epoch 43 | loss 0.0287 | val_f1 0.951
Epoch 44 | loss 0.0248 | val_f1 0.945
Epoch 45 | loss 0.0255 | val_f1 0.957
Epoch 46 | loss 0.0266 | val_f1 0.948
Epoch 47 | loss 0.0196 | val_f1 0.955
Epoch 48 | loss 0.0251 | val_f1 0.962
Epoch 49 | loss 0.0272 | val_f1 0.955
Epoch 50 | loss 0.0198 | val_f1 0.955
Epoch 51 | loss 0.0209 | val_f1 0.955
Epoch 52 | loss 0.0175 | val_f1 0.955
Epoch 53 | loss 0.0240 | val_f1 0.891
Epoch 54 | loss 0.0239 | val_f1 0.962
Epoch 55 | loss 0.0180 | val_f1 0.955
Epoch 56 | loss 0.0204 | val_f1 0.955
Epoch 57 | loss 0.0188 | val_f1 0.955
Epoch 58 | loss 0.0123 | val_f1 0.962
Epoch 59 | loss 0.0181 | val_f1 0.955
Epoch 60 | loss 0.0167 | val_f1 0.951
Epoch 61 | loss 0.0182 | val_f1 0.962
Epoch 62 | loss 0.0124 | val_f1 0.968
Epoch 63 | loss 0.0224 | val_f1 0.956
Epoch 64 | loss 0.0161 | val_f1 0.962
Epoch 65 | loss 0.0290 | val_f1 0.963
Epoch 66 | loss 0.0091 | val_f1 0.948
Epoch 67 | loss 0.0137 | val_f1 0.948
Epoch 68 | loss 0.0116 | val_f1 0.962
Epoch 69 | loss 0.0141 | val_f1 0.969
Epoch 70 | loss 0.0123 | val_f1 0.955
Epoch 71 | loss 0.0128 | val_f1 0.948
Epoch 72 | loss 0.0231 | val_f1 0.962
Epoch 73 | loss 0.0157 | val_f1 0.955
Epoch 74 | loss 0.0091 | val_f1 0.962
Epoch 75 | loss 0.0080 | val_f1 0.962
Epoch 76 | loss 0.0109 | val_f1 0.963
Epoch 77 | loss 0.0214 | val_f1 0.949
Epoch 78 | loss 0.0056 | val_f1 0.962
Epoch 79 | loss 0.0124 | val_f1 0.955
Epoch 80 | loss 0.0079 | val_f1 0.949
Epoch 81 | loss 0.0063 | val_f1 0.962
Epoch 82 | loss 0.0157 | val_f1 0.962
Epoch 83 | loss 0.0224 | val_f1 0.962
Epoch 84 | loss 0.0050 | val_f1 0.962
Epoch 85 | loss 0.0048 | val_f1 0.962
Epoch 86 | loss 0.0156 | val_f1 0.969
Epoch 87 | loss 0.0093 | val_f1 0.963
Epoch 88 | loss 0.0113 | val_f1 0.948
Epoch 89 | loss 0.0054 | val_f1 0.963
Epoch 90 | loss 0.0091 | val_f1 0.957
Epoch 91 | loss 0.0082 | val_f1 0.957
Epoch 92 | loss 0.0051 | val_f1 0.956
Epoch 93 | loss 0.0306 | val_f1 0.957
Epoch 94 | loss 0.0044 | val_f1 0.955
Epoch 95 | loss 0.0053 | val_f1 0.948
Epoch 96 | loss 0.0044 | val_f1 0.962
Epoch 97 | loss 0.0072 | val_f1 0.955
Epoch 98 | loss 0.0041 | val_f1 0.963
Epoch 99 | loss 0.0116 | val_f1 0.949
Epoch 100 | loss 0.0069 | val_f1 0.962
TEST METRICS
acc       : 0.8946
precision : 0.9237
recall    : 0.8582
f1        : 0.8897
auroc     : 0.9507
