/home/jwang/miniconda/envs/evo/lib/python3.11/site-packages/sklearn/metrics/_classification.py:1471: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 due to no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch 1 | loss 0.5174 | val_f1 0.000
Epoch 2 | loss 0.4427 | val_f1 0.337
Epoch 3 | loss 0.3965 | val_f1 0.532
Epoch 4 | loss 0.3656 | val_f1 0.579
Epoch 5 | loss 0.3435 | val_f1 0.661
Epoch 6 | loss 0.3244 | val_f1 0.661
Epoch 7 | loss 0.3105 | val_f1 0.748
Epoch 8 | loss 0.2968 | val_f1 0.719
Epoch 9 | loss 0.2871 | val_f1 0.750
Epoch 10 | loss 0.2822 | val_f1 0.759
Epoch 11 | loss 0.2721 | val_f1 0.719
Epoch 12 | loss 0.2656 | val_f1 0.769
Epoch 13 | loss 0.2617 | val_f1 0.774
Epoch 14 | loss 0.2534 | val_f1 0.761
Epoch 15 | loss 0.2495 | val_f1 0.761
Epoch 16 | loss 0.2452 | val_f1 0.761
Epoch 17 | loss 0.2406 | val_f1 0.765
Epoch 18 | loss 0.2374 | val_f1 0.809
Epoch 19 | loss 0.2342 | val_f1 0.774
Epoch 20 | loss 0.2290 | val_f1 0.761
Epoch 21 | loss 0.2273 | val_f1 0.761
Epoch 22 | loss 0.2232 | val_f1 0.806
Epoch 23 | loss 0.2217 | val_f1 0.803
Epoch 24 | loss 0.2181 | val_f1 0.819
Epoch 25 | loss 0.2162 | val_f1 0.761
Epoch 26 | loss 0.2140 | val_f1 0.800
Epoch 27 | loss 0.2102 | val_f1 0.800
Epoch 28 | loss 0.2122 | val_f1 0.819
Epoch 29 | loss 0.2067 | val_f1 0.817
Epoch 30 | loss 0.2062 | val_f1 0.819
Epoch 31 | loss 0.2044 | val_f1 0.800
Epoch 32 | loss 0.2016 | val_f1 0.809
Epoch 33 | loss 0.2003 | val_f1 0.817
Epoch 34 | loss 0.1997 | val_f1 0.809
Epoch 35 | loss 0.1980 | val_f1 0.809
Epoch 36 | loss 0.1952 | val_f1 0.779
Epoch 37 | loss 0.1955 | val_f1 0.819
Epoch 38 | loss 0.1938 | val_f1 0.809
Epoch 39 | loss 0.1913 | val_f1 0.811
Epoch 40 | loss 0.1901 | val_f1 0.825
Epoch 41 | loss 0.1898 | val_f1 0.821
Epoch 42 | loss 0.1895 | val_f1 0.809
Epoch 43 | loss 0.1870 | val_f1 0.822
Epoch 44 | loss 0.1863 | val_f1 0.809
Epoch 45 | loss 0.1843 | val_f1 0.828
Epoch 46 | loss 0.1841 | val_f1 0.794
Epoch 47 | loss 0.1818 | val_f1 0.827
Epoch 48 | loss 0.1821 | val_f1 0.817
Epoch 49 | loss 0.1807 | val_f1 0.817
Epoch 50 | loss 0.1815 | val_f1 0.836
Epoch 51 | loss 0.1789 | val_f1 0.829
Epoch 52 | loss 0.1775 | val_f1 0.809
Epoch 53 | loss 0.1781 | val_f1 0.817
Epoch 54 | loss 0.1767 | val_f1 0.825
Epoch 55 | loss 0.1762 | val_f1 0.828
Epoch 56 | loss 0.1743 | val_f1 0.817
Epoch 57 | loss 0.1735 | val_f1 0.817
Epoch 58 | loss 0.1734 | val_f1 0.838
Epoch 59 | loss 0.1728 | val_f1 0.836
Epoch 60 | loss 0.1704 | val_f1 0.817
Epoch 61 | loss 0.1704 | val_f1 0.830
Epoch 62 | loss 0.1710 | val_f1 0.838
Epoch 63 | loss 0.1699 | val_f1 0.844
Epoch 64 | loss 0.1684 | val_f1 0.812
Epoch 65 | loss 0.1689 | val_f1 0.817
Epoch 66 | loss 0.1671 | val_f1 0.844
Epoch 67 | loss 0.1661 | val_f1 0.839
Epoch 68 | loss 0.1671 | val_f1 0.849
Epoch 69 | loss 0.1648 | val_f1 0.817
Epoch 70 | loss 0.1646 | val_f1 0.849
Epoch 71 | loss 0.1638 | val_f1 0.825
Epoch 72 | loss 0.1637 | val_f1 0.834
Epoch 73 | loss 0.1638 | val_f1 0.846
Epoch 74 | loss 0.1626 | val_f1 0.825
Epoch 75 | loss 0.1617 | val_f1 0.844
Epoch 76 | loss 0.1601 | val_f1 0.833
Epoch 77 | loss 0.1603 | val_f1 0.814
Epoch 78 | loss 0.1621 | val_f1 0.844
Epoch 79 | loss 0.1588 | val_f1 0.835
Epoch 80 | loss 0.1598 | val_f1 0.829
Epoch 81 | loss 0.1581 | val_f1 0.844
Epoch 82 | loss 0.1569 | val_f1 0.844
Epoch 83 | loss 0.1583 | val_f1 0.849
Epoch 84 | loss 0.1568 | val_f1 0.840
Epoch 85 | loss 0.1559 | val_f1 0.846
Epoch 86 | loss 0.1556 | val_f1 0.846
Epoch 87 | loss 0.1550 | val_f1 0.844
Epoch 88 | loss 0.1547 | val_f1 0.849
Epoch 89 | loss 0.1549 | val_f1 0.840
Epoch 90 | loss 0.1540 | val_f1 0.840
Epoch 91 | loss 0.1550 | val_f1 0.844
Epoch 92 | loss 0.1536 | val_f1 0.855
Epoch 93 | loss 0.1525 | val_f1 0.849
Epoch 94 | loss 0.1522 | val_f1 0.849
Epoch 95 | loss 0.1525 | val_f1 0.830
Epoch 96 | loss 0.1517 | val_f1 0.844
Epoch 97 | loss 0.1512 | val_f1 0.848
Epoch 98 | loss 0.1502 | val_f1 0.851
Epoch 99 | loss 0.1509 | val_f1 0.837
Epoch 100 | loss 0.1489 | val_f1 0.855
TEST METRICS
acc       : 0.8503
precision : 0.9269
recall    : 0.7575
f1        : 0.8337
auroc     : 0.9431
