Cruci_CruV_387	MT263621	2761291	Crucivirus-387	100.000	4076	0.0	7528
Cruci_CruV_387	MT263616	2761286	Crucivirus-371	84.048	1260	0.0	1197
Cruci_CruV_387	MT263616	2761286	Crucivirus-371	77.087	563	1.18e-80	318
Cruci_CruV_387	MT263616	2761286	Crucivirus-371	89.256	121	1.64e-29	148
Cruci_CruV_387	MT263616	2761286	Crucivirus-371	73.810	294	6.02e-14	97.1
Cruci_CruV_387	MT263617	2761287	Crucivirus-372	84.262	1131	0.0	1092
Cruci_CruV_387	MT263617	2761287	Crucivirus-372	77.265	563	2.54e-82	324
Cruci_CruV_387	MT263617	2761287	Crucivirus-372	89.256	121	1.64e-29	148
Cruci_CruV_387	MT263617	2761287	Crucivirus-372	74.490	294	2.15e-18	111
Cruci_CruV_387	MZ244275	2569971	Crucivirus sp.	79.298	285	4.46e-45	200
Cruci_CruV_387	MT201494	1954248	Circoviridae sp.	76.389	144	1.01e-06	73.1
