Cruci_EAF_Carc_SvL2_c39	MK071988	2487775	Terrestrivirus sp.	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OZ038317	283776	Osedax frankpressi	100.000	32	0.009	60.2
Cruci_EAF_Carc_SvL2_c39	OU830606	224133	Phyllotreta cruciferae	97.143	35	0.009	60.2
