domain	fold	split	sequence_id	raw_length	cleaned_length	stops_removed	stops_replaced	invalid_removed	invalid_replaced
fullCP	Blue	train	Cruci_CruCGE-944	779	778	1	0	0	0
fullCP	Blue	train	Cruci_CruV_499	729	728	1	0	0	0
fullCP	Blue	train	Cruci_CruV_502	727	726	1	0	0	0
fullCP	Blue	train	Cruci_CruV_462	720	719	1	0	0	0
fullCP	Blue	train	Cruci_CruV_457	712	711	1	0	0	0
fullCP	Blue	train	Cruci_CruV_484	655	654	1	0	0	0
fullCP	Blue	train	Cruci_CruV_406	653	652	1	0	0	0
fullCP	Blue	train	Cruci_CruV_407	653	652	1	0	0	0
fullCP	Blue	train	Cruci_CruV_488	653	652	1	0	0	0
fullCP	Blue	train	Cruci_CruV-900	648	647	1	0	0	0
fullCP	Blue	train	Cruci_CruV_516	643	642	1	0	0	0
fullCP	Blue	train	Cruci_CruV_463	640	639	1	0	0	0
fullCP	Blue	train	Cruci_CruV_412	632	631	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697732	607	606	1	0	0	0
fullCP	Blue	train	Cruci_CruV_486	604	603	1	0	0	0
fullCP	Blue	train	Cruci_CruV_232	602	601	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Lake_Pavin_contig403	601	600	1	0	0	0
fullCP	Blue	train	Cruci_CruV_237	601	600	1	0	0	0
fullCP	Blue	train	Cruci_CruV_382	600	599	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388516	594	593	1	0	0	0
fullCP	Blue	train	Cruci_CruV_376	593	592	1	0	0	0
fullCP	Blue	train	Cruci_CruV_508	591	590	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388503	590	589	1	0	0	0
fullCP	Blue	train	Cruci_CruV_470	588	587	1	0	0	0
fullCP	Blue	train	Cruci_CruV_365	586	585	1	0	0	0
fullCP	Blue	train	Cruci_CruV_433	585	584	1	0	0	0
fullCP	Blue	train	Cruci_CruV_495	585	584	1	0	0	0
fullCP	Blue	train	Cruci_CruV_313	584	583	1	0	0	0
fullCP	Blue	train	Cruci_CruV_500	581	580	1	0	0	0
fullCP	Blue	train	Cruci_CruV_392	580	579	1	0	0	0
fullCP	Blue	train	Cruci_CruV_220	578	577	1	0	0	0
fullCP	Blue	train	Cruci_CruV_413	578	577	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Eukaryote_metagenome_T142_contig705	577	576	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Eukaryote_metagenome_T149_contig609	577	576	1	0	0	0
fullCP	Blue	train	Cruci_CruV_402	577	576	1	0	0	0
fullCP	Blue	train	Cruci_CruCGE-562	574	573	1	0	0	0
fullCP	Blue	train	Cruci_CruV_460	574	573	1	0	0	0
fullCP	Blue	train	Cruci_CruV_355	573	572	1	0	0	0
fullCP	Blue	train	Cruci_muss_OR270612	572	571	1	0	0	0
fullCP	Blue	train	Cruci_CruV_453	571	570	1	0	0	0
fullCP	Blue	train	Cruci_CruV_454	571	570	1	0	0	0
fullCP	Blue	train	Cruci_CruV_455	571	570	1	0	0	0
fullCP	Blue	train	Cruci_CruV_456	571	570	1	0	0	0
fullCP	Blue	train	Cruci_CruV_541	571	570	1	0	0	0
fullCP	Blue	train	Cruci_CruV_125	570	569	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Lake_Pavin_contig15342	569	568	1	0	0	0
fullCP	Blue	train	Cruci_CruV_172	566	565	1	0	0	0
fullCP	Blue	train	Cruci_CruV_322	566	565	1	0	0	0
fullCP	Blue	train	Cruci_CruV_323	566	565	1	0	0	0
fullCP	Blue	train	Cruci_CruV_324	566	565	1	0	0	0
fullCP	Blue	train	Cruci_CruV_400	566	565	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Eukaryote_metagenome_T149_contig276	565	564	1	0	0	0
fullCP	Blue	train	Cruci_CruV_347	565	564	1	0	0	0
fullCP	Blue	train	Cruci_Oys_GWHBFST00001923_circ	565	564	1	0	0	0
fullCP	Blue	train	Cruci_CruV_526	564	563	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388502	564	563	1	0	0	0
fullCP	Blue	train	Cruci_CruV_287	563	562	1	0	0	0
fullCP	Blue	train	Cruci_CruV_368	563	562	1	0	0	0
fullCP	Blue	train	Cruci_CruV_418	561	560	1	0	0	0
fullCP	Blue	train	Cruci_CruV_219	560	559	1	0	0	0
fullCP	Blue	train	Cruci_CruV_408	558	557	1	0	0	0
fullCP	Blue	train	Cruci_CruV_472	558	557	1	0	0	0
fullCP	Blue	train	Cruci_CruV_532	556	555	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697595	554	553	1	0	0	0
fullCP	Blue	train	Cruci_CruV_194	553	552	1	0	0	0
fullCP	Blue	train	Cruci_CruV_185	552	551	1	0	0	0
fullCP	Blue	train	Cruci_CruV_450	552	551	1	0	0	0
fullCP	Blue	train	Cruci_CruV_520	549	548	1	0	0	0
fullCP	Blue	train	Cruci_Oys_GWHBFST00002020_circ	547	546	1	0	0	0
fullCP	Blue	train	Cruci_CruV_300	545	544	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697584	543	542	1	0	0	0
fullCP	Blue	train	Cruci_CruV_391	543	542	1	0	0	0
fullCP	Blue	train	Cruci_CruV_274	542	541	1	0	0	0
fullCP	Blue	train	Cruci_CruV_309	541	540	1	0	0	0
fullCP	Blue	train	Cruci_CruV_310	541	540	1	0	0	0
fullCP	Blue	train	Cruci_CruV_311	541	540	1	0	0	0
fullCP	Blue	train	Cruci_CruV_240	540	539	1	0	0	0
fullCP	Blue	train	Cruci_CruV_331	540	539	1	0	0	0
fullCP	Blue	train	Cruci_CruV_345	540	539	1	0	0	0
fullCP	Blue	train	Cruci_CruV_288	539	538	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697596	536	535	1	0	0	0
fullCP	Blue	train	Cruci_CruV_305	536	535	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697558	535	534	1	0	0	0
fullCP	Blue	train	Cruci_CruV_414	532	531	1	0	0	0
fullCP	Blue	train	Cruci_CruV_297	531	530	1	0	0	0
fullCP	Blue	train	Cruci_CruV_336	531	530	1	0	0	0
fullCP	Blue	train	Cruci_Oys_GWHBFST00000019_circ	531	530	1	0	0	0
fullCP	Blue	train	Cruci_CruV_135	530	529	1	0	0	0
fullCP	Blue	train	Cruci_CruV_186	528	527	1	0	0	0
fullCP	Blue	train	Cruci_CruV_427	528	527	1	0	0	0
fullCP	Blue	train	Cruci_CruV_183	527	526	1	0	0	0
fullCP	Blue	train	Cruci_CruV_416	527	526	1	0	0	0
fullCP	Blue	train	Cruci_CruV_459	527	526	1	0	0	0
fullCP	Blue	train	Cruci_CruV_473	527	523	4	0	0	0
fullCP	Blue	train	Cruci_CruV_475	527	526	1	0	0	0
fullCP	Blue	train	Cruci_CruV_99	526	525	1	0	0	0
fullCP	Blue	train	Cruci_Oys_GWHBFST00003133_circ	526	525	1	0	0	0
fullCP	Blue	train	Cruci_CruV_298	525	524	1	0	0	0
fullCP	Blue	train	Cruci_CruV_397	525	524	1	0	0	0
fullCP	Blue	train	Cruci_Oys_GWHBFST00002740_circ	525	524	1	0	0	0
fullCP	Blue	train	Cruci_CruCGE_436	524	523	1	0	0	0
fullCP	Blue	train	Cruci_CruV_417	524	523	1	0	0	0
fullCP	Blue	train	Cruci_Oys_GWHBFST00000015_circ	524	523	1	0	0	0
fullCP	Blue	train	Cruci_chiv_35_Marine_contig3	523	522	1	0	0	0
fullCP	Blue	train	Cruci_CruV_301	523	522	1	0	0	0
fullCP	Blue	train	Cruci_CruV_304	523	522	1	0	0	0
fullCP	Blue	train	Cruci_CruV_434	523	522	1	0	0	0
fullCP	Blue	train	Cruci_CruV_491	523	522	1	0	0	0
fullCP	Blue	train	Cruci_CruV_163	522	521	1	0	0	0
fullCP	Blue	train	Cruci_CruV_426	521	520	1	0	0	0
fullCP	Blue	train	Cruci_CruV_465	521	520	1	0	0	0
fullCP	Blue	train	Cruci_CruV-788	520	519	1	0	0	0
fullCP	Blue	train	Cruci_CruCGE_471	519	518	1	0	0	0
fullCP	Blue	train	Cruci_CruV_396	519	518	1	0	0	0
fullCP	Blue	train	Cruci_CruV_422	519	518	1	0	0	0
fullCP	Blue	train	Cruci_CruV_524	519	518	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MH616643.1	519	518	1	0	0	0
fullCP	Blue	train	Cruci_CruV_174	517	516	1	0	0	0
